locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKHABIKF_00001	tRNA	74				tRNA-Gly(tcc)
AKHABIKF_00002	tRNA	77				tRNA-Arg(acg)
AKHABIKF_00003	CDS	855	ydbD_1	1.11.1.6	COG3546	putative manganese catalase
AKHABIKF_00004	CDS	1089	gmuG_1	3.2.1.78	COG4124	Mannan endo-1,4-beta-mannosidase
AKHABIKF_00005	CDS	948	gmuF	5.3.1.8	COG1482	putative mannose-6-phosphate isomerase GmuF
AKHABIKF_00006	CDS	900	gmuE	2.7.1.4	COG1940	Putative fructokinase
AKHABIKF_00007	CDS	714	gmuR		COG2188	HTH-type transcriptional regulator GmuR
AKHABIKF_00008	CDS	1398	gmuD	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
AKHABIKF_00009	CDS	1329	gmuC		COG1455	PTS system oligo-beta-mannoside-specific EIIC component
AKHABIKF_00010	CDS	333	gmuA		COG1447	PTS system oligo-beta-mannoside-specific EIIA component
AKHABIKF_00011	CDS	312	gmuB	2.7.1.205	COG1440	PTS system oligo-beta-mannoside-specific EIIB component
AKHABIKF_00012	CDS	1167	pbuE_1		COG2814	Purine efflux pump PbuE
AKHABIKF_00013	CDS	570	ydhK			putative protein YdhK
AKHABIKF_00014	CDS	978				hypothetical protein
AKHABIKF_00015	CDS	477				hypothetical protein
AKHABIKF_00016	CDS	498				hypothetical protein
AKHABIKF_00017	CDS	372	fra		COG5646	Intracellular iron chaperone frataxin
AKHABIKF_00018	CDS	1389	phoB	3.1.3.1	COG1785	Alkaline phosphatase 3
AKHABIKF_00019	CDS	711				hypothetical protein
AKHABIKF_00020	CDS	1188	tylCV	2.4.1.318		Demethyllactenocin mycarosyltransferase
AKHABIKF_00021	CDS	1263	ydhD_1	3.2.-.-	COG3858	Putative sporulation-specific glycosylase YdhD
AKHABIKF_00022	CDS	675	rspR		COG1802	HTH-type transcriptional repressor RspR
AKHABIKF_00023	CDS	738				hypothetical protein
AKHABIKF_00024	CDS	1209	bcr			Bicyclomycin resistance protein
AKHABIKF_00025	CDS	435	slyA			Transcriptional regulator SlyA
AKHABIKF_00026	CDS	630	yodC_1	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YodC
AKHABIKF_00027	CDS	2658	ydgH		COG2409	Putative membrane protein YdgH
AKHABIKF_00028	CDS	513				hypothetical protein
AKHABIKF_00029	CDS	519				hypothetical protein
AKHABIKF_00030	CDS	1377	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
AKHABIKF_00031	CDS	1647	vmlR			ABC-F type ribosomal protection protein VmlR
AKHABIKF_00032	CDS	474	yycN_1	2.3.1.-	COG0454	putative N-acetyltransferase YycN
AKHABIKF_00033	CDS	345				hypothetical protein
AKHABIKF_00034	CDS	597				hypothetical protein
AKHABIKF_00035	CDS	273				hypothetical protein
AKHABIKF_00036	CDS	243				hypothetical protein
AKHABIKF_00037	CDS	432	cotP		COG0071	Spore coat protein P
AKHABIKF_00038	CDS	708				hypothetical protein
AKHABIKF_00039	CDS	678				hypothetical protein
AKHABIKF_00040	CDS	231				hypothetical protein
AKHABIKF_00041	CDS	294				hypothetical protein
AKHABIKF_00042	CDS	237				hypothetical protein
AKHABIKF_00043	CDS	195				hypothetical protein
AKHABIKF_00044	CDS	339				hypothetical protein
AKHABIKF_00045	CDS	390	mhqP	1.-.-.-	COG2259	Putative oxidoreductase MhqP
AKHABIKF_00046	CDS	939	mhqO	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqO
AKHABIKF_00047	CDS	621	mhqN	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase MhqN
AKHABIKF_00048	CDS	894	mneP		COG0053	Manganese efflux system protein MneP
AKHABIKF_00049	CDS	813				hypothetical protein
AKHABIKF_00050	CDS	690	ydfK		COG1811	putative membrane protein YdfK
AKHABIKF_00051	CDS	903	nap	3.1.1.1	COG0596	putative carboxylesterase nap
AKHABIKF_00052	CDS	2175	ydfJ		COG2409	Membrane protein YdfJ
AKHABIKF_00053	CDS	642	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
AKHABIKF_00054	CDS	1164				hypothetical protein
AKHABIKF_00055	CDS	174				hypothetical protein
AKHABIKF_00056	CDS	444				hypothetical protein
AKHABIKF_00057	CDS	681				hypothetical protein
AKHABIKF_00058	CDS	624				hypothetical protein
AKHABIKF_00059	CDS	1449	norG_1		COG1167	HTH-type transcriptional regulator NorG
AKHABIKF_00060	CDS	921				hypothetical protein
AKHABIKF_00061	CDS	777				hypothetical protein
