locus_tag	ftype	length_bp	gene	EC_number	COG	product
DHKOHJCB_00001	CDS	579	thiT		COG3859	Thiamine transporter ThiT
DHKOHJCB_00002	CDS	522				hypothetical protein
DHKOHJCB_00003	CDS	1530	yqiK		COG2268	Inner membrane protein YqiK
DHKOHJCB_00004	CDS	525	yuaF			putative membrane protein YuaF
DHKOHJCB_00005	CDS	489				hypothetical protein
DHKOHJCB_00006	CDS	579	yuaD			Putative metal-sulfur cluster biosynthesis proteins YuaD
DHKOHJCB_00007	CDS	1209	gbsB	1.1.1.-	COG1454	Choline dehydrogenase
DHKOHJCB_00008	CDS	1473	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
DHKOHJCB_00009	CDS	543	opcR_1		COG1510	HTH-type transcriptional repressor OpcR
DHKOHJCB_00010	CDS	546	bslA			Biofilm-surface layer protein A
DHKOHJCB_00011	CDS	669	ktrA_1		COG0569	Ktr system potassium uptake protein A
DHKOHJCB_00012	CDS	1338	ktrB_1		COG0168	Ktr system potassium uptake protein B
DHKOHJCB_00013	CDS	264				hypothetical protein
DHKOHJCB_00014	CDS	1035	lytG	3.2.1.-	COG1705	Exo-glucosaminidase LytG
DHKOHJCB_00015	CDS	1536				hypothetical protein
DHKOHJCB_00016	CDS	486	cdoA	1.13.11.20		Cysteine dioxygenase
DHKOHJCB_00017	tRNA	73				tRNA-Ala(ggc)
DHKOHJCB_00018	CDS	831	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
DHKOHJCB_00019	CDS	1167				hypothetical protein
DHKOHJCB_00020	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
DHKOHJCB_00021	CDS	1275	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
DHKOHJCB_00022	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
DHKOHJCB_00023	CDS	1458	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
DHKOHJCB_00024	CDS	777	srlR_1		COG1349	Glucitol operon repressor
DHKOHJCB_00025	CDS	2070	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
DHKOHJCB_00026	CDS	183				hypothetical protein
DHKOHJCB_00027	CDS	1989	mcpB_1		COG0840	Methyl-accepting chemotaxis protein McpB
DHKOHJCB_00028	CDS	1986	mcpA_1		COG0840	Methyl-accepting chemotaxis protein McpA
DHKOHJCB_00029	CDS	1989	mcpA_2		COG0840	Methyl-accepting chemotaxis protein McpA
DHKOHJCB_00030	CDS	1989	mcpB_2		COG0840	Methyl-accepting chemotaxis protein McpB
DHKOHJCB_00031	CDS	738	tgl	2.3.2.13		Protein-glutamine gamma-glutamyltransferase
DHKOHJCB_00032	CDS	255				hypothetical protein
DHKOHJCB_00033	CDS	399				hypothetical protein
DHKOHJCB_00034	CDS	1665	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
DHKOHJCB_00035	CDS	1290				hypothetical protein
DHKOHJCB_00036	CDS	678				hypothetical protein
DHKOHJCB_00037	CDS	264				hypothetical protein
DHKOHJCB_00038	CDS	333	mstX		COG1226	Protein mistic
DHKOHJCB_00039	CDS	987				hypothetical protein
DHKOHJCB_00040	CDS	405				hypothetical protein
DHKOHJCB_00041	CDS	429				hypothetical protein
DHKOHJCB_00042	CDS	1353	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
DHKOHJCB_00043	CDS	1173	adh2_1	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
DHKOHJCB_00044	CDS	1164	adh2_2	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
DHKOHJCB_00045	CDS	237				hypothetical protein
DHKOHJCB_00046	CDS	393	yugI		COG1098	General stress protein 13
DHKOHJCB_00047	CDS	1083	dapX_1	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
DHKOHJCB_00048	CDS	501				hypothetical protein
DHKOHJCB_00049	CDS	822	mhpC	3.7.1.14		2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
DHKOHJCB_00050	CDS	261				hypothetical protein
DHKOHJCB_00051	CDS	1164	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
DHKOHJCB_00052	CDS	1287	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
DHKOHJCB_00053	CDS	387	kapB			Kinase-associated lipoprotein B
DHKOHJCB_00054	CDS	618				hypothetical protein
DHKOHJCB_00055	CDS	204				hypothetical protein
DHKOHJCB_00056	CDS	1059	sbnD			Staphyloferrin B transporter
DHKOHJCB_00057	CDS	1875	pbpD		COG0744	Penicillin-binding protein 4
DHKOHJCB_00058	CDS	414				hypothetical protein
DHKOHJCB_00059	CDS	558				hypothetical protein
DHKOHJCB_00060	CDS	1602	dcuS_1	2.7.13.3	COG3290	Sensor histidine kinase DcuS
DHKOHJCB_00061	CDS	708	dcuR		COG4565	Transcriptional regulatory protein DcuR
DHKOHJCB_00062	CDS	1080	tmpC		COG1744	Membrane lipoprotein TmpC
DHKOHJCB_00063	CDS	1533	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
DHKOHJCB_00064	CDS	1047				hypothetical protein
DHKOHJCB_00065	CDS	960				hypothetical protein
DHKOHJCB_00066	CDS	1347	cimH_1		COG3493	Citrate/malate transporter
DHKOHJCB_00067	CDS	216				hypothetical protein
DHKOHJCB_00068	CDS	2406	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
DHKOHJCB_00069	CDS	432	mrpB		COG2111	Na(+)/H(+) antiporter subunit B
DHKOHJCB_00070	CDS	342	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
DHKOHJCB_00071	CDS	1491	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
DHKOHJCB_00072	CDS	477	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
DHKOHJCB_00073	CDS	285	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
DHKOHJCB_00074	CDS	375	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
DHKOHJCB_00075	CDS	384		3.1.2.-	COG2050	Putative esterase
DHKOHJCB_00076	CDS	645	comA		COG2197	Transcriptional regulatory protein ComA
DHKOHJCB_00077	CDS	2298	comP	2.7.13.3		Sensor histidine kinase ComP
DHKOHJCB_00078	CDS	162				hypothetical protein
DHKOHJCB_00079	CDS	945				hypothetical protein
DHKOHJCB_00080	CDS	141	degQ			Degradation enzyme regulation protein DegQ
DHKOHJCB_00081	CDS	369				hypothetical protein
DHKOHJCB_00082	CDS	1230	cdgJ	3.1.4.52	COG3434	Cyclic di-GMP phosphodiesterase CdgJ
DHKOHJCB_00083	CDS	1473	pncB	6.3.4.21		Nicotinate phosphoribosyltransferase
DHKOHJCB_00084	CDS	552				hypothetical protein
DHKOHJCB_00085	CDS	399	yueI		COG5506	putative protein YueI
DHKOHJCB_00086	CDS	249				hypothetical protein
DHKOHJCB_00087	CDS	222	gerPF_1			putative spore germination protein GerPF
DHKOHJCB_00088	CDS	1110			COG0628	Putative transport protein
DHKOHJCB_00089	CDS	390				hypothetical protein
DHKOHJCB_00090	CDS	237				hypothetical protein
DHKOHJCB_00091	CDS	531				hypothetical protein
DHKOHJCB_00092	CDS	732	yueD	1.1.1.320		Benzil reductase ((S)-benzoin forming)
DHKOHJCB_00093	CDS	465				hypothetical protein
DHKOHJCB_00094	CDS	3237	yueB		COG1511	ESX secretion system protein YueB
DHKOHJCB_00095	CDS	4521	eccC		COG1674	ESX secretion system protein EccC
DHKOHJCB_00096	CDS	1356	essB		COG4499	Type VII secretion system protein EssB
DHKOHJCB_00097	CDS	240	yukD		COG5417	ESX secretion system protein YukD
DHKOHJCB_00098	CDS	294	yukE		COG4842	Protein YukE
DHKOHJCB_00099	CDS	1230	putR_1			Proline-responsive transcriptional activator PutR
DHKOHJCB_00100	CDS	1137	ald	1.4.1.1	COG0686	Alanine dehydrogenase
DHKOHJCB_00101	CDS	678				hypothetical protein
