locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCJDOLDM_00001	tRNA	77				tRNA-Pro(tgg)
LCJDOLDM_00002	tRNA	77				tRNA-Arg(acg)
LCJDOLDM_00003	tRNA	86				tRNA-Leu(taa)
LCJDOLDM_00004	tRNA	75				tRNA-Gly(gcc)
LCJDOLDM_00005	tRNA	87				tRNA-Leu(cag)
LCJDOLDM_00006	tRNA	76				tRNA-Lys(ttt)
LCJDOLDM_00007	tRNA	76				tRNA-Thr(tgt)
LCJDOLDM_00008	tRNA	76				tRNA-Val(tac)
LCJDOLDM_00009	rRNA	111				5S ribosomal RNA
LCJDOLDM_00010	rRNA	2924				23S ribosomal RNA
LCJDOLDM_00011	rRNA	1547				16S ribosomal RNA
LCJDOLDM_00012	CDS	579	thiT		COG3859	Thiamine transporter ThiT
LCJDOLDM_00013	CDS	522				hypothetical protein
LCJDOLDM_00014	CDS	1530	yqiK		COG2268	Inner membrane protein YqiK
LCJDOLDM_00015	CDS	525	yuaF			putative membrane protein YuaF
LCJDOLDM_00016	CDS	489				hypothetical protein
LCJDOLDM_00017	CDS	579	yuaD			Putative metal-sulfur cluster biosynthesis proteins YuaD
LCJDOLDM_00018	CDS	1209	gbsB	1.1.1.-	COG1454	Choline dehydrogenase
LCJDOLDM_00019	CDS	1473	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
LCJDOLDM_00020	CDS	543	opcR_1		COG1510	HTH-type transcriptional repressor OpcR
LCJDOLDM_00021	CDS	546	bslA			Biofilm-surface layer protein A
LCJDOLDM_00022	CDS	669	ktrA_1		COG0569	Ktr system potassium uptake protein A
LCJDOLDM_00023	CDS	1338	ktrB_1		COG0168	Ktr system potassium uptake protein B
LCJDOLDM_00024	CDS	264				hypothetical protein
LCJDOLDM_00025	CDS	1035	lytG	3.2.1.-	COG1705	Exo-glucosaminidase LytG
LCJDOLDM_00026	CDS	1536				hypothetical protein
LCJDOLDM_00027	CDS	486	cdoA	1.13.11.20		Cysteine dioxygenase
LCJDOLDM_00028	tRNA	73				tRNA-Ala(ggc)
LCJDOLDM_00029	CDS	831	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
LCJDOLDM_00030	CDS	1167				hypothetical protein
LCJDOLDM_00031	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
LCJDOLDM_00032	CDS	1275	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
LCJDOLDM_00033	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
LCJDOLDM_00034	CDS	1458	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
